
Length: 2	 Moves: 49.7 	 Prepare time: 0.008247447013854981 	 Turn time: 2.2869151869299044e-06 	
Length: 3	 Moves: 55.9 	 Prepare time: 0.01976666450500488 	 Turn time: 1.8541102586614081e-06 	
Length: 4	 Moves: 58.1 	 Prepare time: 0.03350040912628174 	 Turn time: 1.786755528417758e-06 	
Length: 5	 Moves: 68.6 	 Prepare time: 0.0510134220123291 	 Turn time: 1.735238052764652e-06 	
Length: 6	 Moves: 81.6 	 Prepare time: 0.0676340103149414 	 Turn time: 2.0104655241592146e-06 	
Length: 7	 Moves: 78.1 	 Prepare time: 0.0858036994934082 	 Turn time: 1.7652200268258163e-06 	
Length: 8	 Moves: 85.6 	 Prepare time: 0.11433031558990478 	 Turn time: 1.8699562492368616e-06 	
Length: 9	 Moves: 92.8 	 Prepare time: 0.13854033946990968 	 Turn time: 1.8503677575452016e-06 	
Length: 10	 Moves: 123.2 	 Prepare time: 0.18332226276397706 	 Turn time: 1.6788081176364521e-06 	
Length: 11	 Moves: 111.5 	 Prepare time: 0.2023991584777832 	 Turn time: 1.6975993531091249e-06 	
Length: 12	 Moves: 126.6 	 Prepare time: 0.25225512981414794 	 Turn time: 1.7558855541658676e-06 	
Length: 13	 Moves: 133.0 	 Prepare time: 0.2846463441848755 	 Turn time: 1.9482015842659883e-06 	
Length: 14	 Moves: 134.6 	 Prepare time: 0.3297545909881592 	 Turn time: 1.8590479141231201e-06 	
Length: 15	 Moves: 156.0 	 Prepare time: 0.3795524835586548 	 Turn time: 1.7632525667875992e-06 	
